batch_id,record_id,source_a_id,source_a_amount,source_a_date,source_a_description,source_a_reference,source_b_id,source_b_amount,source_b_date,source_b_description,source_b_reference,expected_status,anomaly_type,fee_amount
batch-synth-v1,TXN-5017,BNK-AXIS-1017,79415.73,2026-09-10,NEFT CR-795205Q-RAZORPAY SETTLEMENT-Subscription,REF-795205Q,GW-RZP-2017,79415.73,2026-09-10,Razorpay payout Subscription settlement batch,PO-795205Q,matched,none,0.0
batch-synth-v1,TXN-5018,BNK-ICICI-1018,6873.83,2026-09-06,RTGS CR-576786R-BULK PAYOUT BATCH,REF-576786R,PO-RZP-2018,6873.83,2026-09-06,Merchant disbursement net of platform fees,PO-576786R,matched,none,0.0
batch-synth-v1,TXN-5019,BNK-SBI-1019,2506.7,2026-09-01,NEFT CR-665621S-RAZORPAY SETTLEMENT-D2C,REF-665621S,PO-RZP-2019,2506.7,2026-09-01,Merchant disbursement net of platform fees,PO-665621S,matched,none,0.0
batch-synth-v1,TXN-5020,BNK-HDFC-1020,1260.23,2026-09-04,NEFT CR-979995T-RAZORPAY SETTLEMENT-E-Commerce,REF-979995T,PAY-RZP-2020,1260.23,2026-09-04,Recurring subscription payout batch,PO-979995T,matched,none,0.0
batch-synth-v1,TXN-5021,BNK-ICICI-1021,3302.54,2026-09-04,RTGS CR-833442U-BULK PAYOUT BATCH,REF-833442U,GW-RZP-2021,3302.54,2026-09-04,Merchant disbursement net of platform fees,PO-833442U,matched,none,0.0
batch-synth-v1,TXN-5022,BNK-KOTAK-1022,71667.51,2026-09-03,ACH CR-213349V-SUBSCRIPTION POOL-Vendor,REF-213349V,PAY-RZP-2022,71667.51,2026-09-03,Razorpay payout Vendor settlement batch,PO-213349V,matched,none,0.0
batch-synth-v1,TXN-5023,BNK-KOTAK-1023,81488.24,2026-09-04,UPI CR-720859W-INSTANT SETTLEMENT,REF-720859W,PAY-RZP-2023,81488.24,2026-09-04,Daily automated merchant credit,PO-720859W,matched,none,0.0
batch-synth-v1,TXN-5024,BNK-HDFC-1024,61024.7,2026-09-02,NEFT CR-693423X-RAZORPAY SETTLEMENT-B2B Services,REF-693423X,PAY-RZP-2024,61024.7,2026-09-02,Merchant disbursement net of platform fees,PO-693423X,matched,none,0.0
batch-synth-v1,TXN-5025,BNK-SBI-1025,8860.16,2026-09-14,TRANSFER-962276Y-DAILY SETTLEMENT SWEEP,REF-962276Y,GW-RZP-2025,8860.16,2026-09-16,Razorpay payout Enterprise settlement batch,PO-962276Y,flagged,settlement_date_drift,0.0
batch-synth-v1,TXN-5026,BNK-ICICI-1026,13282.8,2026-09-11,ACH CR-745830Z-SUBSCRIPTION POOL-Vendor,REF-745830Z,PO-RZP-2026,13282.8,2026-09-13,Customer checkout collection settlement,PO-745830Z,flagged,settlement_date_drift,0.0
batch-synth-v1,TXN-5027,BNK-SBI-1027,77897.87,2026-09-04,ACH CR-587282A-SUBSCRIPTION POOL-B2B Services,REF-587282A,GW-RZP-2027,77897.87,2026-09-04,Recurring subscription payout batch,PO-587282A,matched,none,0.0
batch-synth-v1,TXN-5028,BNK-SBI-1028,8462.85,2026-09-08,RTGS CR-472060B-BULK PAYOUT BATCH,REF-472060B,GW-RZP-2028,8462.85,2026-09-08,Merchant disbursement net of platform fees,PO-472060B,matched,none,0.0
batch-synth-v1,TXN-5029,BNK-KOTAK-1029,55997.64,2026-09-04,UPI CR-353080C-INSTANT SETTLEMENT,REF-353080C,PAY-RZP-2029,55997.64,2026-09-04,Customer checkout collection settlement,PO-353080C,matched,none,0.0
batch-synth-v1,TXN-5030,BNK-KOTAK-1030,54449.28,2026-09-13,RTGS CR-197573D-BULK PAYOUT BATCH,REF-197573D,GW-RZP-2030,24502.18,2026-09-16,Gateway settlement auto-sweep SaaS,PO-825391M,mismatched,severe_mismatch,0.0
batch-synth-v1,TXN-5031,BNK-SBI-1031,12094.88,2026-09-09,UPI CR-546173E-INSTANT SETTLEMENT,REF-546173E,PAY-RZP-2031,12094.88,2026-09-09,Recurring subscription payout batch,PO-546173E,matched,none,0.0
batch-synth-v1,TXN-5032,BNK-SBI-1032,8012.26,2026-09-04,IMPS INWARD-856321F-MERCHANT DISBURSEMENT,REF-856321F,PAY-RZP-2032,8012.26,2026-09-04,Merchant disbursement net of platform fees,PO-856321F,matched,none,0.0
batch-synth-v1,TXN-5033,BNK-KOTAK-1033,5801.42,2026-09-08,ACH CR-859782G-SUBSCRIPTION POOL-Vendor,REF-859782G,PAY-RZP-2033,5801.42,2026-09-08,Recurring subscription payout batch,PO-859782G,matched,none,0.0
batch-synth-v1,TXN-5034,BNK-HDFC-1034,9341.59,2026-09-05,ACH CR-842411H-SUBSCRIPTION POOL-SaaS,REF-842411H,GW-RZP-2034,9341.59,2026-09-05,Gateway settlement auto-sweep SaaS,PO-842411H,matched,none,0.0
batch-synth-v1,TXN-5035,BNK-HDFC-1035,17586.73,2026-09-03,TRANSFER-889359I-DAILY SETTLEMENT SWEEP,REF-889359I,GW-RZP-2035,17586.73,2026-09-03,Razorpay payout D2C settlement batch,PO-889359I,matched,none,0.0
batch-synth-v1,TXN-5036,BNK-KOTAK-1036,11291.49,2026-09-03,TRANSFER-364742J-DAILY SETTLEMENT SWEEP,REF-364742J,PO-RZP-2036,11291.49,2026-09-03,Razorpay payout SaaS settlement batch,PO-364742J,matched,none,0.0
batch-synth-v1,TXN-5037,BNK-AXIS-1037,15921.42,2026-09-01,ACH CR-256445K-SUBSCRIPTION POOL-E-Commerce,REF-256445K,PO-RZP-2037,15921.42,2026-09-01,Merchant disbursement net of platform fees,PO-256445K,matched,none,0.0
batch-synth-v1,TXN-5038,BNK-ICICI-1038,10696.26,2026-09-10,IMPS INWARD-748458L-MERCHANT DISBURSEMENT,REF-748458L,GW-RZP-2038,10696.26,2026-09-10,Recurring subscription payout batch,PO-748458L,matched,none,0.0
batch-synth-v1,TXN-5039,BNK-AXIS-1039,14918.87,2026-09-07,ACH CR-696251M-SUBSCRIPTION POOL-Vendor,REF-696251M,PO-RZP-2039,14918.87,2026-09-07,Razorpay payout Vendor settlement batch,PO-696251M,matched,none,0.0
batch-synth-v1,TXN-5040,BNK-ICICI-1040,16680.49,2026-09-03,ACH CR-282256N-SUBSCRIPTION POOL-E-Commerce,REF-282256N,PAY-RZP-2040,525.42,2026-09-10,Unrelated ad-hoc vendor settlement,PO-822858Z,mismatched,orphaned_bank_record,0.0
batch-synth-v1,TXN-5041,BNK-SBI-1041,17820.42,2026-09-12,NEFT CR-576086O-RAZORPAY SETTLEMENT-B2B Services,REF-576086O,GW-RZP-2041,17820.42,2026-09-12,Daily automated merchant credit,PO-576086O,matched,none,0.0
batch-synth-v1,TXN-5042,BNK-SBI-1042,20195.69,2026-09-04,ACH CR-220351P-SUBSCRIPTION POOL-Enterprise,REF-220351P,PAY-RZP-2042,20195.69,2026-09-04,Gateway settlement auto-sweep Enterprise,PO-220351P,matched,none,0.0
batch-synth-v1,TXN-5043,BNK-SBI-1043,4565.11,2026-09-05,ACH CR-885339Q-SUBSCRIPTION POOL-Subscription,REF-885339Q,GW-RZP-2043,4565.11,2026-09-05,Merchant disbursement net of platform fees,PO-885339Q,matched,none,0.0
batch-synth-v1,TXN-5044,BNK-HDFC-1044,81560.57,2026-09-09,TRANSFER-617781R-DAILY SETTLEMENT SWEEP,REF-617781R,PO-RZP-2044,81560.57,2026-09-09,Razorpay payout Subscription settlement batch,PO-617781R,matched,none,0.0
batch-synth-v1,TXN-5045,BNK-AXIS-1045,6634.01,2026-09-02,ACH CR-807053S-SUBSCRIPTION POOL-E-Commerce,REF-807053S,PAY-RZP-2045,6501.35,2026-09-02,Recurring subscription payout batch,PO-807053S,flagged,gateway_fee_deduction,132.66
batch-synth-v1,TXN-5046,BNK-KOTAK-1046,56137.83,2026-09-08,ACH CR-290305T-SUBSCRIPTION POOL-Vendor,REF-290305T,GW-RZP-2046,56137.83,2026-09-08,Customer checkout collection settlement,PO-290305T,matched,none,0.0
batch-synth-v1,TXN-5047,BNK-HDFC-1047,8666.06,2026-09-11,IMPS INWARD-999398U-MERCHANT DISBURSEMENT,REF-999398U,PO-RZP-2047,8666.06,2026-09-11,Merchant disbursement net of platform fees,PO-999398U,matched,none,0.0
batch-synth-v1,TXN-5048,BNK-AXIS-1048,70629.99,2026-09-01,RTGS CR-192337V-BULK PAYOUT BATCH,REF-192337V,PO-RZP-2048,70629.99,2026-09-01,Merchant disbursement net of platform fees,PO-192337V,matched,none,0.0
batch-synth-v1,TXN-5049,BNK-HDFC-1049,25069.06,2026-09-14,TRANSFER-584417W-DAILY SETTLEMENT SWEEP,REF-584417W,PO-RZP-2049,5425.17,2026-09-22,Unrelated ad-hoc vendor settlement,PO-893188Z,mismatched,orphaned_bank_record,0.0
batch-synth-v1,TXN-5050,BNK-AXIS-1050,13955.88,2026-09-15,UPI CR-559398X-INSTANT SETTLEMENT,REF-559398X,GW-RZP-2050,13955.88,2026-09-15,Customer checkout collection settlement,PO-559398X,matched,none,0.0
batch-synth-v1,TXN-5051,BNK-HDFC-1051,34502.69,2026-09-09,TRANSFER-679077Y-DAILY SETTLEMENT SWEEP,REF-679077Y,PAY-RZP-2051,34502.69,2026-09-09,Razorpay payout SaaS settlement batch,PO-679077Y,matched,none,0.0
batch-synth-v1,TXN-5052,BNK-HDFC-1052,34238.27,2026-09-15,ACH CR-406039Z-SUBSCRIPTION POOL-D2C,REF-406039Z,PO-RZP-2052,34238.27,2026-09-15,Daily automated merchant credit,PO-406039Z,matched,none,0.0
batch-synth-v1,TXN-5053,BNK-AXIS-1053,58075.9,2026-09-07,ACH CR-728492A-SUBSCRIPTION POOL-E-Commerce,REF-728492A,PO-RZP-2053,58075.9,2026-09-07,Daily automated merchant credit,PO-728492A,matched,none,0.0
batch-synth-v1,TXN-5054,BNK-HDFC-1054,45392.51,2026-09-13,NEFT CR-380150B-RAZORPAY SETTLEMENT-Subscription,REF-380150B,PO-RZP-2054,45392.51,2026-09-13,Merchant disbursement net of platform fees,PO-380150B,matched,none,0.0
batch-synth-v1,TXN-5055,BNK-KOTAK-1055,33915.73,2026-09-09,RTGS CR-461888C-BULK PAYOUT BATCH,REF-461888C,PAY-RZP-2055,33915.73,2026-09-09,Recurring subscription payout batch,PO-461888C,matched,none,0.0
batch-synth-v1,TXN-5056,BNK-AXIS-1056,124402.91,2026-09-07,TRANSFER-997594D-DAILY SETTLEMENT SWEEP,REF-997594D,PO-RZP-2056,124402.91,2026-09-07,Razorpay payout E-Commerce settlement batch,PO-997594D,matched,none,0.0
batch-synth-v1,TXN-5057,BNK-AXIS-1057,84304.84,2026-09-13,IMPS INWARD-783691E-MERCHANT DISBURSEMENT,REF-783691E,PAY-RZP-2057,84304.84,2026-09-13,Customer checkout collection settlement,PO-783691E,matched,none,0.0
batch-synth-v1,TXN-5058,BNK-ICICI-1058,31021.88,2026-09-14,ACH CR-204555F-SUBSCRIPTION POOL-Enterprise,REF-204555F,PAY-RZP-2058,31021.88,2026-09-14,Customer checkout collection settlement,PO-204555F,matched,none,0.0
batch-synth-v1,TXN-5059,BNK-ICICI-1059,97346.66,2026-09-13,ACH CR-455007G-SUBSCRIPTION POOL-Vendor,REF-455007G,PO-RZP-2059,97346.66,2026-09-13,Daily automated merchant credit,PO-455007G,matched,none,0.0
batch-synth-v1,TXN-5060,BNK-HDFC-1060,47800.56,2026-09-06,TRANSFER-853629H-DAILY SETTLEMENT SWEEP,REF-853629H,PO-RZP-2060,44926.36,2026-09-06,Recurring subscription payout batch,PO-853629H,mismatched,unexplained_amount_delta,0.0
batch-synth-v1,TXN-5061,BNK-SBI-1061,30906.59,2026-09-11,TRANSFER-205389I-DAILY SETTLEMENT SWEEP,REF-205389I,GW-RZP-2061,77266.475,2026-09-16,Legacy customer refund without bank tag,PO-148225X,mismatched,orphaned_gateway_record,0.0
batch-synth-v1,TXN-5062,BNK-HDFC-1062,11051.83,2026-09-04,ACH CR-532067J-SUBSCRIPTION POOL-Subscription,REF-532067J,PO-RZP-2062,10904.18,2026-09-04,Daily automated merchant credit,PO-532067J,flagged,gateway_fee_deduction,147.65
batch-synth-v1,TXN-5063,BNK-KOTAK-1063,79769.74,2026-09-03,UPI CR-583550K-INSTANT SETTLEMENT,REF-583550K,PO-RZP-2063,79769.74,2026-09-03,Merchant disbursement net of platform fees,PO-583550K,matched,none,0.0
batch-synth-v1,TXN-5064,BNK-SBI-1064,20213.51,2026-09-15,ACH CR-810526L-SUBSCRIPTION POOL-Vendor,REF-810526L,PAY-RZP-2064,20213.51,2026-09-15,Gateway settlement auto-sweep Vendor,PO-810526L,matched,none,0.0
batch-synth-v1,TXN-5065,BNK-AXIS-1065,82721.74,2026-09-12,RTGS CR-579027M-BULK PAYOUT BATCH,REF-579027M,PO-RZP-2065,82721.74,2026-09-14,Gateway settlement auto-sweep Vendor,PO-579027M,flagged,settlement_date_drift,0.0
batch-synth-v1,TXN-5066,BNK-ICICI-1066,14582.89,2026-09-12,UPI CR-123005N-INSTANT SETTLEMENT,REF-123005N,PO-RZP-2066,14582.89,2026-09-12,Customer checkout collection settlement,PO-123005N,matched,none,0.0
batch-synth-v1,TXN-5067,BNK-HDFC-1067,83416.17,2026-09-15,TRANSFER-881369O-DAILY SETTLEMENT SWEEP,REF-881369O,PAY-RZP-2067,83416.17,2026-09-15,Merchant disbursement net of platform fees,PO-881369O,matched,none,0.0
batch-synth-v1,TXN-5068,BNK-KOTAK-1068,5158.23,2026-09-05,UPI CR-892280P-INSTANT SETTLEMENT,REF-892280P,PO-RZP-2068,5158.23,2026-09-05,Daily automated merchant credit,PO-892280P,matched,none,0.0
batch-synth-v1,TXN-5069,BNK-HDFC-1069,51449.39,2026-09-10,IMPS INWARD-867934Q-MERCHANT DISBURSEMENT,REF-867934Q,PAY-RZP-2069,128623.475,2026-09-20,Legacy customer refund without bank tag,PO-883790X,mismatched,orphaned_gateway_record,0.0
batch-synth-v1,TXN-5070,BNK-ICICI-1070,13715.49,2026-09-06,RTGS CR-626169R-BULK PAYOUT BATCH,REF-626169R,GW-RZP-2070,13715.49,2026-09-06,Gateway settlement auto-sweep Subscription,PO-626169R,matched,none,0.0
batch-synth-v1,TXN-5071,BNK-AXIS-1071,31910.18,2026-09-02,IMPS INWARD-890785S-MERCHANT DISBURSEMENT,REF-890785S,PO-RZP-2071,31910.18,2026-09-02,Daily automated merchant credit,PO-890785S,matched,none,0.0
batch-synth-v1,TXN-5072,BNK-KOTAK-1072,10167.08,2026-09-05,TRANSFER-229592T-DAILY SETTLEMENT SWEEP,REF-229592T,PO-RZP-2072,10167.08,2026-09-05,Merchant disbursement net of platform fees,PO-229592T,matched,none,0.0
batch-synth-v1,TXN-5073,BNK-KOTAK-1073,102877.11,2026-09-04,ACH CR-126240U-SUBSCRIPTION POOL-Enterprise,REF-126240U,PO-RZP-2073,102877.11,2026-09-04,Recurring subscription payout batch,PO-126240U,matched,none,0.0
batch-synth-v1,TXN-5074,BNK-KOTAK-1074,52856.05,2026-09-12,TRANSFER-780776V-DAILY SETTLEMENT SWEEP,REF-780776V,GW-RZP-2074,52856.05,2026-09-12,Razorpay payout Vendor settlement batch,PO-780776V,matched,none,0.0
batch-synth-v1,TXN-5075,BNK-HDFC-1075,12569.3,2026-09-02,IMPS INWARD-663658W-MERCHANT DISBURSEMENT,REF-663658W,GW-RZP-2075,12569.3,2026-09-02,Customer checkout collection settlement,PO-663658W,matched,none,0.0
batch-synth-v1,TXN-5076,BNK-SBI-1076,57411.55,2026-09-10,IMPS INWARD-861894X-MERCHANT DISBURSEMENT,REF-861894X,PAY-RZP-2076,56677.13,2026-09-12,Customer checkout collection settlement,PO-861894X,flagged,fee_and_date_drift,734.42
batch-synth-v1,TXN-5077,BNK-SBI-1077,51681.75,2026-09-04,NEFT CR-480303Y-RAZORPAY SETTLEMENT-B2B Services,REF-480303Y,GW-RZP-2077,129204.375,2026-09-14,Legacy customer refund without bank tag,PO-163491X,mismatched,orphaned_gateway_record,0.0
batch-synth-v1,TXN-5078,BNK-SBI-1078,220991.53,2026-09-02,UPI CR-322409Z-INSTANT SETTLEMENT,REF-322409Z,GW-RZP-2078,220526.57,2026-09-02,Daily automated merchant credit,PO-322409Z,mismatched,unexplained_amount_delta,0.0
batch-synth-v1,TXN-5079,BNK-ICICI-1079,74789.07,2026-09-09,IMPS INWARD-714867A-MERCHANT DISBURSEMENT,REF-714867A,GW-RZP-2079,74789.07,2026-09-09,Gateway settlement auto-sweep E-Commerce,PO-714867A,matched,none,0.0
batch-synth-v1,TXN-5080,BNK-ICICI-1080,21530.95,2026-09-03,RTGS CR-666456B-BULK PAYOUT BATCH,REF-666456B,PAY-RZP-2080,21530.95,2026-09-03,Gateway settlement auto-sweep E-Commerce,PO-666456B,matched,none,0.0
batch-synth-v1,TXN-5081,BNK-HDFC-1081,19854.62,2026-09-04,NEFT CR-439498C-RAZORPAY SETTLEMENT-Subscription,REF-439498C,GW-RZP-2081,19854.62,2026-09-04,Gateway settlement auto-sweep Subscription,PO-439498C,matched,none,0.0
batch-synth-v1,TXN-5082,BNK-HDFC-1082,69739.92,2026-09-08,RTGS CR-915809D-BULK PAYOUT BATCH,REF-915809D,GW-RZP-2082,69739.92,2026-09-08,Recurring subscription payout batch,PO-915809D,matched,none,0.0
batch-synth-v1,TXN-5083,BNK-AXIS-1083,15570.12,2026-09-12,ACH CR-790909E-SUBSCRIPTION POOL-B2B Services,REF-790909E,PAY-RZP-2083,15570.12,2026-09-12,Merchant disbursement net of platform fees,PO-790909E,matched,none,0.0
batch-synth-v1,TXN-5084,BNK-HDFC-1084,50576.42,2026-09-02,TRANSFER-847006F-DAILY SETTLEMENT SWEEP,REF-847006F,GW-RZP-2084,50576.42,2026-09-02,Razorpay payout Enterprise settlement batch,PO-847006F,matched,none,0.0
batch-synth-v1,TXN-5085,BNK-SBI-1085,3591.69,2026-09-10,ACH CR-713799G-SUBSCRIPTION POOL-D2C,REF-713799G,PAY-RZP-2085,3591.69,2026-09-10,Daily automated merchant credit,PO-713799G,matched,none,0.0
batch-synth-v1,TXN-5086,BNK-AXIS-1086,11616.03,2026-09-10,UPI CR-203996H-INSTANT SETTLEMENT,REF-203996H,PAY-RZP-2086,11616.03,2026-09-10,Razorpay payout Enterprise settlement batch,PO-203996H,matched,none,0.0
batch-synth-v1,TXN-5087,BNK-AXIS-1087,74645.15,2026-09-07,NEFT CR-865054I-RAZORPAY SETTLEMENT-Enterprise,REF-865054I,PO-RZP-2087,74645.15,2026-09-07,Merchant disbursement net of platform fees,PO-865054I,matched,none,0.0
batch-synth-v1,TXN-5088,BNK-SBI-1088,23863.02,2026-09-11,NEFT CR-170394J-RAZORPAY SETTLEMENT-Enterprise,REF-170394J,PAY-RZP-2088,21777.54,2026-09-11,Razorpay payout Enterprise settlement batch,PO-170394J,mismatched,unexplained_amount_delta,0.0
batch-synth-v1,TXN-5089,BNK-ICICI-1089,23937.3,2026-09-09,NEFT CR-802559K-RAZORPAY SETTLEMENT-Vendor,REF-802559K,PAY-RZP-2089,23937.3,2026-09-09,Customer checkout collection settlement,PO-802559K,matched,none,0.0
batch-synth-v1,TXN-5090,BNK-AXIS-1090,7546.92,2026-09-05,ACH CR-208633L-SUBSCRIPTION POOL-Vendor,REF-208633L,PAY-RZP-2090,7546.92,2026-09-05,Recurring subscription payout batch,PO-208633L,matched,none,0.0
batch-synth-v1,TXN-5091,BNK-ICICI-1091,21258.23,2026-09-06,RTGS CR-683286M-BULK PAYOUT BATCH,REF-683286M,PAY-RZP-2091,21258.23,2026-09-06,Razorpay payout B2B Services settlement batch,PO-683286M,matched,none,0.0
batch-synth-v1,TXN-5092,BNK-KOTAK-1092,83472.8,2026-09-14,UPI CR-743378N-INSTANT SETTLEMENT,REF-743378N,GW-RZP-2092,82453.59,2026-09-16,Daily automated merchant credit,PO-743378N,flagged,fee_and_date_drift,1019.21
batch-synth-v1,TXN-5093,BNK-ICICI-1093,45389.48,2026-09-01,ACH CR-250210O-SUBSCRIPTION POOL-E-Commerce,REF-250210O,PO-RZP-2093,45389.48,2026-09-01,Daily automated merchant credit,PO-250210O,matched,none,0.0
batch-synth-v1,TXN-5094,BNK-HDFC-1094,100140.02,2026-09-09,TRANSFER-494468P-DAILY SETTLEMENT SWEEP,REF-494468P,GW-RZP-2094,100140.02,2026-09-09,Customer checkout collection settlement,PO-494468P,matched,none,0.0
batch-synth-v1,TXN-5095,BNK-ICICI-1095,8447.38,2026-09-10,NEFT CR-189083Q-RAZORPAY SETTLEMENT-Subscription,REF-189083Q,PO-RZP-2095,8447.38,2026-09-10,Gateway settlement auto-sweep Subscription,PO-189083Q,matched,none,0.0
batch-synth-v1,TXN-5096,BNK-KOTAK-1096,64716.32,2026-09-08,TRANSFER-563516R-DAILY SETTLEMENT SWEEP,REF-563516R,GW-RZP-2096,64716.32,2026-09-08,Merchant disbursement net of platform fees,PO-563516R,matched,none,0.0
batch-synth-v1,TXN-5097,BNK-KOTAK-1097,3216.8,2026-09-11,TRANSFER-721946S-DAILY SETTLEMENT SWEEP,REF-721946S,GW-RZP-2097,3216.8,2026-09-11,Recurring subscription payout batch,PO-721946S,matched,none,0.0
batch-synth-v1,TXN-5098,BNK-HDFC-1098,15183.46,2026-09-01,IMPS INWARD-416061T-MERCHANT DISBURSEMENT,REF-416061T,GW-RZP-2098,15183.46,2026-09-01,Gateway settlement auto-sweep E-Commerce,PO-416061T,matched,none,0.0
batch-synth-v1,TXN-5099,BNK-SBI-1099,12685.94,2026-09-07,TRANSFER-235461U-DAILY SETTLEMENT SWEEP,REF-235461U,PO-RZP-2099,5252.49,2026-09-17,Unrelated ad-hoc vendor settlement,PO-800499Z,mismatched,orphaned_bank_record,0.0
batch-synth-v1,TXN-5100,BNK-HDFC-1100,26124.49,2026-09-15,ACH CR-428267V-SUBSCRIPTION POOL-SaaS,REF-428267V,PO-RZP-2100,25726.47,2026-09-17,Customer checkout collection settlement,PO-428267V,flagged,fee_and_date_drift,398.02
batch-synth-v1,TXN-5101,BNK-HDFC-1101,8456.82,2026-09-13,UPI CR-582446W-INSTANT SETTLEMENT,REF-582446W,PO-RZP-2101,8325.79,2026-09-13,Merchant disbursement net of platform fees,PO-582446W,flagged,gateway_fee_deduction,131.03
batch-synth-v1,TXN-5102,BNK-ICICI-1102,13337.08,2026-09-07,UPI CR-425346X-INSTANT SETTLEMENT,REF-425346X,PO-RZP-2102,13141.5,2026-09-07,Merchant disbursement net of platform fees,PO-425346X,flagged,gateway_fee_deduction,195.58
batch-synth-v1,TXN-5103,BNK-HDFC-1103,36634.22,2026-09-13,UPI CR-468154Y-INSTANT SETTLEMENT,REF-468154Y,PAY-RZP-2103,36125.37,2026-09-13,Daily automated merchant credit,PO-468154Y,flagged,gateway_fee_deduction,508.85
batch-synth-v1,TXN-5104,BNK-SBI-1104,4245.31,2026-09-13,IMPS INWARD-179013Z-MERCHANT DISBURSEMENT,REF-179013Z,GW-RZP-2104,4245.31,2026-09-13,Daily automated merchant credit,PO-179013Z,matched,none,0.0
batch-synth-v1,TXN-5105,BNK-AXIS-1105,80449.26,2026-09-10,ACH CR-766158A-SUBSCRIPTION POOL-D2C,REF-766158A,PAY-RZP-2105,80449.26,2026-09-10,Merchant disbursement net of platform fees,PO-766158A,matched,none,0.0
