record_id,merchant,category,rail,bank,gateway,gross_amount,fee_amount,bank_amount,gateway_amount,bank_date,gateway_date,bank_ref,gateway_ref,bank_desc,gateway_desc,status,anomaly_flag,anomaly_category
TXN-10K-00013,Dunzo Quick Commerce,E-Commerce,Debit Card,HDFC,Cashfree,26304.95,564.18,26304.95,20861.51,2026-08-19 23:50:00,2026-08-19 23:50:00,REF-DNZ3653446,PO-DNZ3653446,DEBIT CR-DNZ3653446-CASHFREE-SETTLEMENT-Dunzo Quick Commerce,Debit collection clearance sweep DNZ3653446,mismatched,True,amount_discrepancy
TXN-10K-00014,Zerodha Securities Payout,FinTech,Credit Card,KOTAK,Stripe,9053.12,205.78,9053.12,8847.34,2026-08-21 06:48:00,2026-08-21 06:48:00,REF-ZRD9517169,PO-ZRD9517169,CARD SETTLE-ZRD9517169-STRIPE-POS DISBURSE-Zerodha Securities Payout,Card settlement net of gateway interchange ZRD9517169,matched,False,matched_clean
TXN-10K-00015,Cleartrip Flights & Hotels,Travel,Credit Card,KOTAK,Razorpay,37259.1,733.18,37259.1,36525.92,2026-08-08 21:23:00,2026-08-08 21:23:00,REF-CLRT6159230,PO-CLRT6159230,CARD SETTLE-CLRT6159230-RAZORPAY-POS DISBURSE-Cleartrip Flights & Hotels,Card settlement net of gateway interchange CLRT6159230,matched,False,matched_clean
TXN-10K-00016,Swiggy Instamart Fleet,Quick Commerce,Debit Card,HDFC,Razorpay,61422.52,1421.9,61422.52,60000.62,2026-09-04 13:17:00,2026-09-06 13:17:00,REF-SWG3154051,PO-SWG3154051,DEBIT CR-SWG3154051-RAZORPAY-SETTLEMENT-Swiggy Instamart Fleet,Debit collection clearance sweep SWG3154051,flagged,True,settlement_lag
TXN-10K-00017,Zerodha Securities Payout,FinTech,NEFT/RTGS,KOTAK,PayU,1118250.52,0.0,1118250.52,1118250.52,2026-08-13 19:38:00,2026-08-13 19:38:00,REF-ZRD7693979,PO-ZRD7693979,NEFT/RTGS CR-ZRD7693979-PAYU-TREASURY SWEEP-Zerodha Securities Payout,[DUPLICATE ATTEMPT] Corporate treasury gross settlement ZRD7693979,mismatched,True,duplicate_auth
TXN-10K-00018,Nykaa Cosmetics D2C,D2C,UPI,AXIS,PayU,3486.76,8.22,3486.76,3478.54,2026-08-22 09:43:00,2026-08-22 09:43:00,REF-NYK4860684,PO-NYK4860684,UPI CR-NYK4860684-PAYU-COLLECTION-Nykaa Cosmetics D2C,UPI instant merchant payout batch NYK4860684,matched,False,matched_clean
TXN-10K-00019,Dunzo Quick Commerce,E-Commerce,UPI,HDFC,Razorpay,13595.49,32.08,13595.49,13563.41,2026-08-22 11:25:00,2026-08-22 11:25:00,REF-DNZ9626108,PO-DNZ9626108,UPI CR-DNZ9626108-RAZORPAY-COLLECTION-Dunzo Quick Commerce,UPI instant merchant payout batch DNZ9626108,matched,False,matched_clean
TXN-10K-00020,Infosys Contractor Payroll,Enterprise,Debit Card,ICICI,Stripe,66319.87,1616.21,66319.87,64703.66,2026-08-31 17:17:00,2026-08-31 17:17:00,REF-INFY8935169,PO-INFY8935169,DEBIT CR-INFY8935169-STRIPE-SETTLEMENT-Infosys Contractor Payroll,Debit collection clearance sweep INFY8935169,matched,False,matched_clean
TXN-10K-00021,Freshworks SaaS Cloud,SaaS,UPI,AXIS,Cashfree,7085.32,16.72,7085.32,7068.6,2026-08-05 07:59:00,2026-08-05 07:59:00,REF-FRSH2651177,PO-FRSH2651177,UPI CR-FRSH2651177-CASHFREE-COLLECTION-Freshworks SaaS Cloud,UPI instant merchant payout batch FRSH2651177,matched,False,matched_clean
TXN-10K-00022,Nykaa Cosmetics D2C,D2C,UPI,HDFC,Stripe,8113.84,19.15,8113.84,8094.69,2026-08-09 23:24:00,2026-08-09 23:24:00,REF-NYK4078418,PO-NYK4078418,UPI CR-NYK4078418-STRIPE-COLLECTION-Nykaa Cosmetics D2C,UPI instant merchant payout batch NYK4078418,matched,False,matched_clean
TXN-10K-00023,Zomato Logistics Payouts,Logistics,Debit Card,HDFC,PayU,64370.36,1654.57,64370.36,62715.79,2026-08-07 10:43:00,2026-08-09 10:43:00,REF-ZMT1247595,PO-ZMT1247595,DEBIT CR-ZMT1247595-PAYU-SETTLEMENT-Zomato Logistics Payouts,Debit collection clearance sweep ZMT1247595,flagged,True,settlement_lag
TXN-10K-00024,Cleartrip Flights & Hotels,Travel,Credit Card,AXIS,PayU,65011.2,1151.86,65011.2,63859.34,2026-08-04 14:37:00,2026-08-04 14:37:00,REF-CLRT7358113,PO-CLRT7358113,CARD SETTLE-CLRT7358113-PAYU-POS DISBURSE-Cleartrip Flights & Hotels,Card settlement net of gateway interchange CLRT7358113,matched,False,matched_clean
TXN-10K-00025,Infosys Contractor Payroll,Enterprise,Credit Card,SBI,PayU,55111.29,1110.53,55111.29,50604.86,2026-09-01 14:17:00,2026-09-01 14:17:00,REF-INFY4185957,PO-INFY4185957,CARD SETTLE-INFY4185957-PAYU-POS DISBURSE-Infosys Contractor Payroll,Card settlement net of gateway interchange INFY4185957,mismatched,True,amount_discrepancy
TXN-10K-00026,Postman API Cloud,SaaS,UPI,HDFC,Cashfree,8825.04,20.83,8825.04,8804.21,2026-09-03 03:07:00,2026-09-03 03:07:00,REF-POST3641282,PO-POST3641282,UPI CR-POST3641282-CASHFREE-COLLECTION-Postman API Cloud,UPI instant merchant payout batch POST3641282,matched,False,matched_clean
TXN-10K-00027,Postman API Cloud,SaaS,UPI,HDFC,Stripe,1159.22,2.74,1159.22,1156.48,2026-08-16 22:46:00,2026-08-20 22:46:00,REF-POST3011363,PO-POST3011363,UPI CR-POST3011363-STRIPE-COLLECTION-Postman API Cloud,UPI instant merchant payout batch POST3011363,flagged,True,settlement_lag
TXN-10K-00028,Zomato Logistics Payouts,Logistics,Credit Card,KOTAK,Razorpay,32138.8,623.08,32138.8,31515.72,2026-09-03 19:47:00,2026-09-03 19:47:00,REF-ZMT5374922,PO-ZMT5374922,CARD SETTLE-ZMT5374922-RAZORPAY-POS DISBURSE-Zomato Logistics Payouts,Card settlement net of gateway interchange ZMT5374922,matched,False,matched_clean
TXN-10K-00029,Zomato Logistics Payouts,Logistics,UPI,SBI,PayU,9735.69,22.97,9735.69,9712.72,2026-08-30 19:47:00,2026-08-30 19:47:00,REF-ZMT2217071,PO-ZMT2217071,UPI CR-ZMT2217071-PAYU-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT2217071,matched,False,matched_clean
TXN-10K-00030,Swiggy Instamart Fleet,Quick Commerce,UPI,KOTAK,Razorpay,3315.34,7.82,3315.34,3200.2,2026-08-17 13:31:00,2026-08-17 13:31:00,REF-SWG6855396,PO-SWG6855396,UPI CR-SWG6855396-RAZORPAY-COLLECTION-Swiggy Instamart Fleet,UPI instant merchant payout batch SWG6855396,flagged,True,fee_deduction
TXN-10K-00031,Nykaa Cosmetics D2C,D2C,UPI,SBI,Stripe,8216.79,19.39,8216.79,8197.4,2026-08-21 05:52:00,2026-08-21 05:52:00,REF-NYK9874152,PO-NYK9874152,UPI CR-NYK9874152-STRIPE-COLLECTION-Nykaa Cosmetics D2C,UPI instant merchant payout batch NYK9874152,matched,False,matched_clean
TXN-10K-00032,Postman API Cloud,SaaS,NEFT/RTGS,SBI,Razorpay,204434.78,0.0,204434.78,204434.78,2026-08-08 12:39:00,2026-08-08 12:39:00,REF-POST3607983,PO-POST3607983,NEFT/RTGS CR-POST3607983-RAZORPAY-TREASURY SWEEP-Postman API Cloud,Corporate treasury gross settlement POST3607983,matched,False,matched_clean
TXN-10K-00033,Swiggy Instamart Fleet,Quick Commerce,UPI,ICICI,Cashfree,9568.43,22.59,9568.43,9545.84,2026-08-18 02:15:00,2026-08-18 02:15:00,REF-SWG9196204,PO-SWG9196204,UPI CR-SWG9196204-CASHFREE-COLLECTION-Swiggy Instamart Fleet,UPI instant merchant payout batch SWG9196204,matched,False,matched_clean
TXN-10K-00034,Dunzo Quick Commerce,E-Commerce,NetBanking,HDFC,PayU,12715.18,242.03,12715.18,12473.15,2026-08-22 13:27:00,2026-08-22 13:27:00,REF-DNZ5394880,PO-DNZ5394880,NB CR-DNZ5394880-PAYU-DIRECT DISBURSE-Dunzo Quick Commerce,Internet banking settlement net of fee DNZ5394880,matched,False,matched_clean
TXN-10K-00035,Razorpay Capital Advances,Lending,UPI,KOTAK,Razorpay,14184.01,33.48,14184.01,14074.37,2026-08-11 03:37:00,2026-08-11 03:37:00,REF-RZPC1604451,PO-RZPC1604451,UPI CR-RZPC1604451-RAZORPAY-COLLECTION-Razorpay Capital Advances,UPI instant merchant payout batch RZPC1604451,flagged,True,fee_deduction
TXN-10K-00036,Cleartrip Flights & Hotels,Travel,UPI,AXIS,Stripe,5565.08,13.13,5565.08,5551.95,2026-08-03 21:12:00,2026-08-03 21:12:00,REF-CLRT4524499,PO-CLRT4524499,UPI CR-CLRT4524499-STRIPE-COLLECTION-Cleartrip Flights & Hotels,UPI instant merchant payout batch CLRT4524499,matched,False,matched_clean
TXN-10K-00037,Freshworks SaaS Cloud,SaaS,NEFT/RTGS,SBI,PayU,911899.25,0.0,911899.25,911881.65,2026-08-16 14:32:00,2026-08-16 14:32:00,REF-FRSH3970445,PO-FRSH3970445,NEFT/RTGS CR-FRSH3970445-PAYU-TREASURY SWEEP-Freshworks SaaS Cloud,Corporate treasury gross settlement FRSH3970445,flagged,True,fee_deduction
TXN-10K-00038,Nykaa Cosmetics D2C,D2C,UPI,AXIS,Stripe,11842.51,27.95,11842.51,11776.2,2026-08-07 22:03:00,2026-08-07 22:03:00,REF-NYK1649691,PO-NYK1649691,UPI CR-NYK1649691-STRIPE-COLLECTION-Nykaa Cosmetics D2C,UPI instant merchant payout batch NYK1649691,flagged,True,fee_deduction
TXN-10K-00039,Infosys Contractor Payroll,Enterprise,NetBanking,SBI,Cashfree,157481.53,3305.75,157481.53,154175.78,2026-08-15 09:48:00,2026-08-15 09:48:00,REF-INFY4240180,PO-INFY4240180,NB CR-INFY4240180-CASHFREE-DIRECT DISBURSE-Infosys Contractor Payroll,Internet banking settlement net of fee INFY4240180,matched,False,matched_clean
TXN-10K-00040,Freshworks SaaS Cloud,SaaS,Credit Card,SBI,Cashfree,30696.26,572.57,30696.26,28730.85,2026-09-04 20:18:00,2026-09-04 20:18:00,REF-FRSH1463060,PO-FRSH1463060,CARD SETTLE-FRSH1463060-CASHFREE-POS DISBURSE-Freshworks SaaS Cloud,Card settlement net of gateway interchange FRSH1463060,mismatched,True,amount_discrepancy
TXN-10K-00041,Zerodha Securities Payout,FinTech,Credit Card,HDFC,Razorpay,26711.71,498.31,26711.71,26178.44,2026-08-21 23:53:00,2026-08-21 23:53:00,REF-ZRD9580255,PO-ZRD9580255,CARD SETTLE-ZRD9580255-RAZORPAY-POS DISBURSE-Zerodha Securities Payout,Card settlement net of gateway interchange ZRD9580255,flagged,True,fee_deduction
TXN-10K-00042,Dunzo Quick Commerce,E-Commerce,Credit Card,AXIS,Razorpay,60720.5,1109.85,60720.5,59610.65,2026-08-13 21:25:00,2026-08-13 21:25:00,REF-DNZ8235969,PO-DNZ8235969,CARD SETTLE-DNZ8235969-RAZORPAY-POS DISBURSE-Dunzo Quick Commerce,Card settlement net of gateway interchange DNZ8235969,matched,False,matched_clean
TXN-10K-00043,Nykaa Cosmetics D2C,D2C,Credit Card,KOTAK,Cashfree,10397.35,241.31,10397.35,10156.04,2026-08-21 02:18:00,2026-08-21 02:18:00,REF-NYK6188935,PO-NYK6188935,CARD SETTLE-NYK6188935-CASHFREE-POS DISBURSE-Nykaa Cosmetics D2C,Card settlement net of gateway interchange NYK6188935,matched,False,matched_clean
TXN-10K-00044,Zerodha Securities Payout,FinTech,UPI,KOTAK,Stripe,10024.2,23.66,10024.2,10000.54,2026-08-26 08:07:00,2026-08-26 08:07:00,REF-ZRD3919694,PO-ZRD3919694,UPI CR-ZRD3919694-STRIPE-COLLECTION-Zerodha Securities Payout,UPI instant merchant payout batch ZRD3919694,matched,False,matched_clean
TXN-10K-00045,Zerodha Securities Payout,FinTech,UPI,AXIS,Razorpay,3271.21,7.72,3271.21,3263.49,2026-08-22 00:52:00,2026-08-22 00:52:00,REF-ZRD8411939,PO-ZRD8411939,UPI CR-ZRD8411939-RAZORPAY-COLLECTION-Zerodha Securities Payout,UPI instant merchant payout batch ZRD8411939,matched,False,matched_clean
TXN-10K-00046,Zomato Logistics Payouts,Logistics,Debit Card,KOTAK,PayU,72035.6,1443.88,72035.6,70591.72,2026-08-12 07:29:00,2026-08-12 07:29:00,REF-ZMT2422633,PO-ZMT2422633,DEBIT CR-ZMT2422633-PAYU-SETTLEMENT-Zomato Logistics Payouts,Debit collection clearance sweep ZMT2422633,matched,False,matched_clean
TXN-10K-00047,Swiggy Instamart Fleet,Quick Commerce,Debit Card,SBI,Razorpay,56633.99,1071.36,56633.99,55562.63,2026-08-20 16:40:00,2026-08-20 16:40:00,REF-SWG4340845,PO-SWG4340845,DEBIT CR-SWG4340845-RAZORPAY-SETTLEMENT-Swiggy Instamart Fleet,Debit collection clearance sweep SWG4340845,matched,False,matched_clean
TXN-10K-00048,Infosys Contractor Payroll,Enterprise,Credit Card,KOTAK,Razorpay,66596.9,1450.72,66596.9,65146.18,2026-08-14 08:46:00,2026-08-14 08:46:00,REF-INFY7442089,PO-INFY7442089,CARD SETTLE-INFY7442089-RAZORPAY-POS DISBURSE-Infosys Contractor Payroll,Card settlement net of gateway interchange INFY7442089,matched,False,matched_clean
TXN-10K-00049,Dunzo Quick Commerce,E-Commerce,UPI,HDFC,PayU,12091.03,28.53,12091.03,12062.5,2026-09-04 00:51:00,2026-09-04 00:51:00,REF-DNZ1842524,PO-DNZ1842524,UPI CR-DNZ1842524-PAYU-COLLECTION-Dunzo Quick Commerce,UPI instant merchant payout batch DNZ1842524,matched,False,matched_clean
TXN-10K-00050,Freshworks SaaS Cloud,SaaS,Debit Card,AXIS,Stripe,50467.24,1071.16,50467.24,49396.08,2026-08-22 00:06:00,2026-08-25 00:06:00,REF-FRSH9468772,PO-FRSH9468772,DEBIT CR-FRSH9468772-STRIPE-SETTLEMENT-Freshworks SaaS Cloud,Debit collection clearance sweep FRSH9468772,flagged,True,settlement_lag
TXN-10K-00051,Cleartrip Flights & Hotels,Travel,UPI,AXIS,PayU,3821.51,9.02,3821.51,3812.49,2026-08-19 02:47:00,2026-08-19 02:47:00,REF-CLRT9130188,PO-CLRT9130188,UPI CR-CLRT9130188-PAYU-COLLECTION-Cleartrip Flights & Hotels,UPI instant merchant payout batch CLRT9130188,matched,False,matched_clean
TXN-10K-00052,Zerodha Securities Payout,FinTech,Debit Card,AXIS,Razorpay,18505.63,348.7,18505.63,18156.93,2026-08-22 19:54:00,2026-08-22 19:54:00,REF-ZRD2351868,PO-ZRD2351868,DEBIT CR-ZRD2351868-RAZORPAY-SETTLEMENT-Zerodha Securities Payout,Debit collection clearance sweep ZRD2351868,matched,False,matched_clean
TXN-10K-00053,Cleartrip Flights & Hotels,Travel,UPI,ICICI,Razorpay,5063.59,11.95,5063.59,5051.64,2026-08-30 23:11:00,2026-08-30 23:11:00,REF-CLRT2044645,PO-CLRT2044645,UPI CR-CLRT2044645-RAZORPAY-COLLECTION-Cleartrip Flights & Hotels,UPI instant merchant payout batch CLRT2044645,matched,False,matched_clean
TXN-10K-00054,Razorpay Capital Advances,Lending,NetBanking,AXIS,Razorpay,138979.05,3542.17,138979.05,135436.88,2026-08-26 01:16:00,2026-08-26 01:16:00,REF-RZPC1098919,PO-RZPC1098919,NB CR-RZPC1098919-RAZORPAY-DIRECT DISBURSE-Razorpay Capital Advances,Internet banking settlement net of fee RZPC1098919,matched,False,matched_clean
TXN-10K-00055,Razorpay Capital Advances,Lending,Credit Card,AXIS,Stripe,21342.63,437.02,21342.63,20905.61,2026-09-01 09:59:00,2026-09-01 09:59:00,REF-RZPC7523941,PO-RZPC7523941,CARD SETTLE-RZPC7523941-STRIPE-POS DISBURSE-Razorpay Capital Advances,Card settlement net of gateway interchange RZPC7523941,matched,False,matched_clean
TXN-10K-00056,Razorpay Capital Advances,Lending,NetBanking,ICICI,PayU,176626.35,3989.82,176626.35,172636.53,2026-09-04 09:55:00,2026-09-04 09:55:00,REF-RZPC7610562,PO-RZPC7610562,NB CR-RZPC7610562-PAYU-DIRECT DISBURSE-Razorpay Capital Advances,Internet banking settlement net of fee RZPC7610562,matched,False,matched_clean
TXN-10K-00057,Freshworks SaaS Cloud,SaaS,NetBanking,AXIS,Stripe,36802.58,715.75,36802.58,36086.83,2026-08-17 21:56:00,2026-08-17 21:56:00,REF-FRSH6492066,PO-FRSH6492066,NB CR-FRSH6492066-STRIPE-DIRECT DISBURSE-Freshworks SaaS Cloud,Internet banking settlement net of fee FRSH6492066,matched,False,matched_clean
TXN-10K-00058,Razorpay Capital Advances,Lending,UPI,SBI,PayU,1366.31,3.22,1366.31,1366.31,2026-08-03 03:24:00,2026-08-03 03:24:00,REF-RZPC1873851,PO-RZPC1873851,UPI CR-RZPC1873851-PAYU-COLLECTION-Razorpay Capital Advances,[DUPLICATE ATTEMPT] UPI instant merchant payout batch RZPC1873851,mismatched,True,duplicate_auth
TXN-10K-00059,Nykaa Cosmetics D2C,D2C,Debit Card,ICICI,Razorpay,49299.49,1214.35,49299.49,48085.14,2026-08-02 17:26:00,2026-08-02 17:26:00,REF-NYK4344717,PO-NYK4344717,DEBIT CR-NYK4344717-RAZORPAY-SETTLEMENT-Nykaa Cosmetics D2C,Debit collection clearance sweep NYK4344717,matched,False,matched_clean
TXN-10K-00060,Zomato Logistics Payouts,Logistics,Credit Card,ICICI,PayU,42820.96,1029.18,42820.96,41791.78,2026-08-15 00:52:00,2026-08-15 00:52:00,REF-ZMT5299055,PO-ZMT5299055,CARD SETTLE-ZMT5299055-PAYU-POS DISBURSE-Zomato Logistics Payouts,Card settlement net of gateway interchange ZMT5299055,matched,False,matched_clean
TXN-10K-00061,Swiggy Instamart Fleet,Quick Commerce,NEFT/RTGS,HDFC,Stripe,174313.56,0.0,174313.56,174313.56,2026-08-02 19:38:00,2026-08-02 19:38:00,REF-SWG7296605,PO-SWG7296605,NEFT/RTGS CR-SWG7296605-STRIPE-TREASURY SWEEP-Swiggy Instamart Fleet,Corporate treasury gross settlement SWG7296605,matched,False,matched_clean
TXN-10K-00062,Zomato Logistics Payouts,Logistics,UPI,HDFC,Stripe,11621.34,27.42,11621.34,11593.92,2026-08-09 04:19:00,2026-08-09 04:19:00,REF-ZMT1689025,PO-ZMT1689025,UPI CR-ZMT1689025-STRIPE-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT1689025,matched,False,matched_clean
TXN-10K-00063,Razorpay Capital Advances,Lending,Credit Card,SBI,Razorpay,26382.86,561.46,26382.86,25821.4,2026-08-28 01:43:00,2026-08-28 01:43:00,REF-RZPC2770648,PO-RZPC2770648,CARD SETTLE-RZPC2770648-RAZORPAY-POS DISBURSE-Razorpay Capital Advances,Card settlement net of gateway interchange RZPC2770648,matched,False,matched_clean
TXN-10K-00064,Infosys Contractor Payroll,Enterprise,UPI,ICICI,PayU,7897.94,18.64,7897.94,7879.3,2026-08-19 06:01:00,2026-08-19 06:01:00,REF-INFY9111742,PO-INFY9111742,UPI CR-INFY9111742-PAYU-COLLECTION-Infosys Contractor Payroll,UPI instant merchant payout batch INFY9111742,matched,False,matched_clean
TXN-10K-00065,Swiggy Instamart Fleet,Quick Commerce,NetBanking,SBI,Cashfree,150377.93,2964.6,150377.93,147413.33,2026-08-06 18:31:00,2026-08-06 18:31:00,REF-SWG8563202,PO-SWG8563202,NB CR-SWG8563202-CASHFREE-DIRECT DISBURSE-Swiggy Instamart Fleet,Internet banking settlement net of fee SWG8563202,matched,False,matched_clean
TXN-10K-00066,Swiggy Instamart Fleet,Quick Commerce,UPI,AXIS,Cashfree,12786.65,30.17,12786.65,12756.48,2026-08-13 01:38:00,2026-08-13 01:38:00,REF-SWG4558780,PO-SWG4558780,UPI CR-SWG4558780-CASHFREE-COLLECTION-Swiggy Instamart Fleet,UPI instant merchant payout batch SWG4558780,matched,False,matched_clean
TXN-10K-00067,Zerodha Securities Payout,FinTech,NetBanking,SBI,Cashfree,127707.16,2805.39,127707.16,124901.77,2026-08-19 03:58:00,2026-08-19 03:58:00,REF-ZRD1170307,PO-ZRD1170307,NB CR-ZRD1170307-CASHFREE-DIRECT DISBURSE-Zerodha Securities Payout,Internet banking settlement net of fee ZRD1170307,matched,False,matched_clean
TXN-10K-00068,Zomato Logistics Payouts,Logistics,Credit Card,AXIS,PayU,18935.91,405.26,18935.91,18530.65,2026-09-01 07:02:00,2026-09-01 07:02:00,REF-ZMT9234615,PO-ZMT9234615,CARD SETTLE-ZMT9234615-PAYU-POS DISBURSE-Zomato Logistics Payouts,Card settlement net of gateway interchange ZMT9234615,matched,False,matched_clean
TXN-10K-00069,Zerodha Securities Payout,FinTech,Credit Card,ICICI,PayU,23798.01,488.8,23798.01,23798.01,2026-08-25 01:09:00,2026-08-25 01:09:00,REF-ZRD9907391,PO-ZRD9907391,CARD SETTLE-ZRD9907391-PAYU-POS DISBURSE-Zerodha Securities Payout,[DUPLICATE ATTEMPT] Card settlement net of gateway interchange ZRD9907391,mismatched,True,duplicate_auth
TXN-10K-00070,Postman API Cloud,SaaS,Debit Card,SBI,Cashfree,21193.63,501.39,21193.63,20692.24,2026-08-17 16:52:00,2026-08-17 16:52:00,REF-POST3024269,PO-POST3024269,DEBIT CR-POST3024269-CASHFREE-SETTLEMENT-Postman API Cloud,Debit collection clearance sweep POST3024269,matched,False,matched_clean
TXN-10K-00071,Postman API Cloud,SaaS,UPI,ICICI,Stripe,7340.35,17.32,7340.35,7323.03,2026-09-04 05:22:00,2026-09-04 05:22:00,REF-POST5747930,PO-CORRUPT-574793,UPI CR-POST5747930-STRIPE-COLLECTION-Postman API Cloud,UPI instant merchant payout batch POST5747930,flagged,True,reference_corruption
TXN-10K-00072,Zomato Logistics Payouts,Logistics,UPI,SBI,Stripe,4638.67,10.95,4638.67,4627.72,2026-09-04 13:19:00,2026-09-04 13:19:00,REF-ZMT5602180,PO-ZMT5602180,UPI CR-ZMT5602180-STRIPE-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT5602180,matched,False,matched_clean
TXN-10K-00073,Dunzo Quick Commerce,E-Commerce,Credit Card,KOTAK,Cashfree,10519.43,236.07,10519.43,10283.36,2026-09-01 12:30:00,2026-09-01 12:30:00,REF-DNZ1205779,PO-DNZ1205779,CARD SETTLE-DNZ1205779-CASHFREE-POS DISBURSE-Dunzo Quick Commerce,Card settlement net of gateway interchange DNZ1205779,matched,False,matched_clean
TXN-10K-00074,Infosys Contractor Payroll,Enterprise,NEFT/RTGS,SBI,Stripe,340350.15,0.0,340350.15,340350.15,2026-08-31 12:53:00,2026-08-31 12:53:00,REF-INFY2096280,PO-INFY2096280,NEFT/RTGS CR-INFY2096280-STRIPE-TREASURY SWEEP-Infosys Contractor Payroll,Corporate treasury gross settlement INFY2096280,matched,False,matched_clean
